No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 9,AGREBI Omar,1.0,, 9,10,0.33
 3,BEN SLIMENE Khaled,1.0,2,5,8,0.33
 2,KADHI Ahmed,,-, 10,10,0.0
11,MOALLA Ismail,,- 1,7,8,0.0
10,NAGGA Hamza,,- 2,4,6,0.0
15,BEN TARA Wassim,,- 1,4,5,0.0
 6,BEN OTHMEN MILADI Mohamed Ali,,- 1,3,4,0.0
 7,KARAMOSLI Elyes,,-, 3,3,0.0
19,BOUGUERRA Aymen,,- 1,, 1,0.0
12,BEN CHEIKH Mehdi,,-,, ,
13,MBAREKI Selim,,-,, ,
20,HMISSI Saddem,,-,, ,
ls,,2.0,8,45,55,0.67
