,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,24,KOBZAR Igor,24,, 27,51,6.0
1,11,PANKOV Pavel,14,1.0,21,36,3.5
2, 7,VOLKOV Dmitry,1,, 3,4,0.25
3,18,KLIUKA Egor,1,, 2,3,0.25
4,27,GOLUBEV Valentin,1,,, 1,0.25
5, 4,VOLVICH Artem,,, 1,1,0.0
6, 9,IAKOVLEV Ivan,,, 1,1,0.0
7,1,PODLESNYKH Yaroslav,,,, ,
8,10,BOGDAN Denis,,,, ,
9,15,POLETAEV Victor,,,, ,
10,17,MIKHAYLOV Maxim,,,, ,
11,20,KURKAEV Ilyas,,,, ,
12,ls,,41,1.0,55,97,10.25
