,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,19,MARANDI Mahdi,9,4.0,2,15,1.8
1, 2,EBADIPOUR GHARA H. Milad,4,5.0,2,11,0.8
2,10,GHAFOUR Amir,4,3.0,, 7,0.8
3,15,MOJARAD Aliasghar,2,1.0,, 3,0.4
4, 4,MAROUFLAKRANI Mir Saeid,1,7.0,3,11,0.2
5,17,SALEHI Meisam,1,5.0,2,8,0.2
6, 6,MOUSAVI ERAGHI Seyed Mohammad,1,1.0,, 2,0.2
7,9,GHOLAMI Masoud,,,, ,
8,11,KAZEMI Saber,,,, ,
9,12,SHARIFI Morteza,,,, ,
10,21,SALEHI Arman,,,, ,
11,24,KARIMISOUCHELMAEI Javad,,,, ,
12,ls,,22,26.0,9,57,4.4
