No.,Name,Points,Errors,In-Play,Total Attempts,by Set
13,VERNONEVANS Sharone,2.0,2,8,12,0.4
 2,PERRIN John Gordon,1.0,3,14,18,0.2
20,SZWARC Arthur,1.0,3,5,9,0.2
12,van BERKEL Lucas,, 1,15,16,0.0
 1,SANDERS Tyler,, 2,13,15,0.0
 4,HOAG Nicholas,, 4,10,14,0.0
10,SCLATER Ryan Joseph,, 1,8,9,0.0
17,VIGRASS Graham,, 1,7,8,0.0
 9,BLANKENAU Jay,,, 1,1,0.0
 7,MAAR Stephen Timothy,, 1,, 1,0.0
3,MARSHALL Steven,,,, ,
19,BANN Blair Cameron,,,, ,
ls,,4.0,18,81,103,0.8
