,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0,15,MOJARAD Aliasghar,2.0,5,9,16,0.5
1, 6,MOUSAVI ERAGHI Seyed Mohammad,2.0,5,6,13,0.5
2, 2,EBADIPOUR GHARA H. Milad,2.0,4,2,8,0.5
3,17,SALEHI Meisam,1.0,2,5,8,0.25
4,12,SHARIFI Morteza,1.0,1,2,4,0.25
5,24,KARIMISOUCHELMAEI Javad,1.0,, 2,3,0.25
6,10,GHAFOUR Amir,, 2,2,4,0.0
7,11,KAZEMI Saber,,, 3,3,0.0
8, 4,MAROUFLAKRANI Mir Saeid,,, 1,1,0.0
9,19,MARANDI Mahdi,,, 1,1,0.0
10,21,SALEHI Arman,,, 1,1,0.0
11,9,GHOLAMI Masoud,,,, ,
12,ls,,9.0,19,34,62,2.25
