,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0, 7,CONTE Facundo,13,2.0,9,24,54.17
1,9,DANANI Santiago,11,, 2,13,
2,6,POGLAJEN Cristian,6,1.0,6,13,
3,13,PALACIOS Ezequiel,4,,, 4,
4,12,LIMA Bruno,1,, 1,2,
5,11,SOLE Sebastian,1,,, 1,
6,1,SANCHEZ Matias,,,, ,
7,2,PEREYRA Federico,,,, ,
8,8,LOSER Agustin,,,, ,
9,15,de CECCO Luciano,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,36,3.0,18,57,63.16
