No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 4,HOAG Nicholas,3.0,3,6,12,1.0
 7,MAAR Stephen Timothy,2.0,3,6,11,0.67
17,VIGRASS Graham,1.0,, 12,13,0.33
12,van BERKEL Lucas,, 1,14,15,0.0
 1,SANDERS Tyler,,, 10,10,0.0
10,SCLATER Ryan Joseph,, 3,4,7,0.0
13,VERNONEVANS Sharone,, 1,3,4,0.0
 9,BLANKENAU Jay,, 1,, 1,0.0
2,PERRIN John Gordon,,,, ,
3,MARSHALL Steven,,,, ,
19,BANN Blair Cameron,,,, ,
20,SZWARC Arthur,,,, ,
ls,,6.0,12,55,73,2.0
