,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,17,FAYOLA HURTADO Ronald Daniel,16,2.0,9,27,59.26
1,19,RIVAS QUIJADA Willner Enrique,7,, 7,14,50.0
2,4,MATA Hector,3,2.0,2,7,
3,11,VERDI Jose,2,, 1,3,
4,1,VELAZQUEZ ESCALANTE Armando Fernan.,1,,, 1,
5,3,GONZALEZ Fernando,,, 1,1,
6,6,ORAMAS BRIZUELA Robert Manuel,,, 1,1,
7,5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
8,7,VALENCIA GONZALEZ Edson Alberto,,,, ,
9,9,CARRASCO ANGULO Jose Manuel,,,, ,
10,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
11,15,ARIAS GUZMAN Luis Antonio,,,, ,
12,ls,,29,4.0,21,54,53.7
