No.,Name,Points,Errors,In-Play,Total Attempts,by Set
15,SBERTOLI Riccardo,1.0,2,7,10,0.33
17,ANZANI Simone,, 2,10,12,0.0
 9,ZAYTSEV Ivan,, 3,9,12,0.0
18,MICHIELETTO Alessandro,, 1,9,10,0.0
 5,JUANTORENA Osmany,, 2,8,10,0.0
14,GALASSI Gianluca,, 5,4,9,0.0
11,PIANO Matteo,,, 1,1,0.0
19,LAVIA Daniele,,, 1,1,0.0
 4,VETTORI Luca,, 1,, 1,0.0
2,KOVAR Jiri,,,, ,
6,GIANNELLI Simone,,,, ,
13,COLACI Massimo,,,, ,
ls,,1.0,16,49,66,0.33
