No.,Name,Points,Errors,In-Play,Total Attempts,by Set
8,DEFALCO Torey,3,,4,7,1
6,STAHL Mitchell,2,6,2,10,0.67
12,HOLT Maxwell,1,4,7,12,0.33
3,SANDER Taylor,1,2,2,5,0.33
1,ANDERSON Matthew,,,3,3,0
11,CHRISTENSON Micah,,1,1,2,0
20,SMITH David,,,1,1,0
5,ENSING Kyle,,,, ,
7,SHOJI Kawika,,,, ,
17,JAESCHKE Thomas,,,, ,
18,MUAGUTUTIA Garrett,,,, ,
22,SHOJI Erik,,,, ,
ls,,7,13,20,40,2.33
