,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0,17,ANZANI Simone,5.0,13,10,28,1.25
1,14,GALASSI Gianluca,3.0,5,3,11,0.75
2, 9,ZAYTSEV Ivan,2.0,4,8,14,0.5
3, 5,JUANTORENA Osmany,2.0,5,6,13,0.5
4,18,MICHIELETTO Alessandro,1.0,1,1,3,0.25
5, 6,GIANNELLI Simone,, 4,2,6,0.0
6,2,KOVAR Jiri,,,, ,
7,4,VETTORI Luca,,,, ,
8,11,PIANO Matteo,,,, ,
9,13,COLACI Massimo,,,, ,
10,15,SBERTOLI Riccardo,,,, ,
11,19,LAVIA Daniele,,,, ,
12,ls,,13.0,32,30,75,3.25
