No.,Name,Points,Errors,In-Play,Total Attempts,by Set
11,VERDI Jose,2.0,2,2,6,0.67
 7,VALENCIA GONZALEZ Edson Alberto,1.0,1,3,5,0.33
17,FAYOLA HURTADO Ronald Daniel,1.0,2,2,5,0.33
19,RIVAS QUIJADA Willner Enrique,, 4,1,5,0.0
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,, 1,2,3,0.0
 9,CARRASCO ANGULO Jose Manuel,, 1,2,3,0.0
1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
3,GONZALEZ Fernando,,,, ,
4,MATA Hector,,,, ,
6,ORAMAS BRIZUELA Robert Manuel,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
15,ARIAS GUZMAN Luis Antonio,,,, ,
ls,,4.0,11,12,27,1.33
