,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,11,DRZYZGA Fabian,44,, 26,70,14.67
1,12,LOMACZ Grzegorz,1,, 1,2,0.33
2,14,SLIWKA Aleksander,,, 4,4,0.0
3,17,ZATORSKI Pawel,,, 4,4,0.0
4, 9,LEON VENERO Wilfredo,,, 1,1,0.0
5,15,KOCHANOWSKI Jakub,,, 1,1,0.0
6,1,NOWAKOWSKI Piotr,,,, ,
7,5,KACZMAREK Lukasz,,,, ,
8,6,KUREK Bartosz,,,, ,
9,13,KUBIAK Michal,,,, ,
10,16,SEMENIUK Kamil,,,, ,
11,20,BIENIEK Mateusz,,,, ,
12,ls,,45,,37,82,15.0
