,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,15,BEN TARA Wassim,11.0,5,7,23,26.09
1, 6,BEN OTHMEN MILADI Mohamed Ali,5.0,4,9,18,5.56
2,2,KADHI Ahmed,6.0,, 1,7,
3,9,AGREBI Omar,1.0,, 5,6,
4,10,NAGGA Hamza,3.0,, 3,6,
5,7,KARAMOSLI Elyes,1.0,1,3,5,
6,11,MOALLA Ismail,, 4,, 4,
7,19,BOUGUERRA Aymen,1.0,, 2,3,
8,3,BEN SLIMENE Khaled,,, 1,1,
9,12,BEN CHEIKH Mehdi,,,, ,
10,13,MBAREKI Selim,,,, ,
11,20,HMISSI Saddem,,,, ,
12,ls,,28.0,14,31,73,19.18
