,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,17,MIKHAYLOV Maxim,12.0,2,12,26,38.46
1, 7,VOLKOV Dmitry,12.0,4,7,23,34.78
2,18,KLIUKA Egor,9.0,3,10,22,27.27
3,4,VOLVICH Artem,7.0,1,1,9,
4,9,IAKOVLEV Ivan,4.0,, 2,6,
5,24,KOBZAR Igor,1.0,, 1,2,
6,1,PODLESNYKH Yaroslav,,,, ,
7,10,BOGDAN Denis,,,, ,
8,11,PANKOV Pavel,,,, ,
9,15,POLETAEV Victor,,,, ,
10,20,KURKAEV Ilyas,,,, ,
11,27,GOLUBEV Valentin,,,, ,
12,ls,,45.0,10,33,88,39.77
