No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 1,CHINENYEZE Barthelemy,4.0,7,6,17,1.33
14,le GOFF Nicolas,2.0,5,4,11,0.67
17,CLEVENOT Trevor,2.0,1,4,7,0.67
11,BRIZARD Antoine,, 5,1,6,0.0
 4,PATRY Jean,, 2,2,4,0.0
 9,NGAPETH Earvin,,, 1,1,0.0
2,GREBENNIKOV Jenia,,,, ,
6,TONIUTTI Benjamin,,,, ,
7,TILLIE Kevin,,,, ,
12,BOYER Stephen,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,8.0,20,18,46,2.67
