,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 6,TONIUTTI Benjamin,59,, 44,103,11.8
1,11,BRIZARD Antoine,7,, 5,12,1.4
2, 2,GREBENNIKOV Jenia,3,, 4,7,0.6
3, 9,NGAPETH Earvin,2,, 5,7,0.4
4, 4,PATRY Jean,2,, 3,5,0.4
5,17,CLEVENOT Trevor,1,, 2,3,0.2
6, 1,CHINENYEZE Barthelemy,1,, 1,2,0.2
7,14,le GOFF Nicolas,1,, 1,2,0.2
8,12,BOYER Stephen,,, 1,1,0.0
9,7,TILLIE Kevin,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,76,,66,142,15.2
