,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,18,MICHIELETTO Alessandro,14.0,1,8,23,56.52
1, 5,JUANTORENA Osmany,19.0,4,12,35,42.86
2, 9,ZAYTSEV Ivan,15.0,5,8,28,35.71
3,14,GALASSI Gianluca,8.0,, 3,11,
4,17,ANZANI Simone,6.0,1,1,8,
5,2,KOVAR Jiri,,,, ,
6,4,VETTORI Luca,,,, ,
7,6,GIANNELLI Simone,,,, ,
8,11,PIANO Matteo,,,, ,
9,13,COLACI Massimo,,,, ,
10,15,SBERTOLI Riccardo,,,, ,
11,19,LAVIA Daniele,,,, ,
12,ls,,62.0,11,32,105,48.57
