No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
18,MICHIELETTO Alessandro,6,, 3,9,1.5
14,GALASSI Gianluca,4,1.0,3,8,1.0
13,COLACI Massimo,3,6.0,1,10,0.75
 9,ZAYTSEV Ivan,3,5.0,1,9,0.75
 5,JUANTORENA Osmany,2,1.0,, 3,0.5
 6,GIANNELLI Simone,1,5.0,3,9,0.25
17,ANZANI Simone,1,1.0,2,4,0.25
2,KOVAR Jiri,,,, ,
4,VETTORI Luca,,,, ,
11,PIANO Matteo,,,, ,
15,SBERTOLI Riccardo,,,, ,
19,LAVIA Daniele,,,, ,
ls,,20,19.0,13,52,5.0
