,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 4,PATRY Jean,4.0,2,6,12,0.8
1, 1,CHINENYEZE Barthelemy,3.0,7,2,12,0.6
2,17,CLEVENOT Trevor,3.0,2,1,6,0.6
3,14,le GOFF Nicolas,2.0,8,4,14,0.4
4, 6,TONIUTTI Benjamin,1.0,1,5,7,0.2
5, 9,NGAPETH Earvin,, 4,6,10,0.0
6,11,BRIZARD Antoine,, 2,1,3,0.0
7,2,GREBENNIKOV Jenia,,,, ,
8,7,TILLIE Kevin,,,, ,
9,12,BOYER Stephen,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,13.0,26,25,64,2.6
