,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0, 6,BEN OTHMEN MILADI Mohamed Ali,20,, 9,29,68.97
1,11,MOALLA Ismail,19,1.0,11,31,61.29
2,20,HMISSI Saddem,17,, 5,22,
3,15,BEN TARA Wassim,2,, 2,4,
4,13,MBAREKI Selim,1,, 1,2,
5,9,AGREBI Omar,1,,, 1,
6,2,KADHI Ahmed,,1.0,, 1,
7,19,BOUGUERRA Aymen,,1.0,, 1,
8,3,BEN SLIMENE Khaled,,,, ,
9,7,KARAMOSLI Elyes,,,, ,
10,10,NAGGA Hamza,,,, ,
11,12,BEN CHEIKH Mehdi,,,, ,
12,ls,,60,3.0,28,91,65.93
