,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 9,NGAPETH Earvin,1.0,8,12,21,0.2
1, 6,TONIUTTI Benjamin,,, 21,21,0.0
2,17,CLEVENOT Trevor,, 4,15,19,0.0
3,14,le GOFF Nicolas,, 1,16,17,0.0
4, 4,PATRY Jean,, 6,11,17,0.0
5, 1,CHINENYEZE Barthelemy,,, 13,13,0.0
6,19,LOUATI Yacine,, 3,4,7,0.0
7, 7,TILLIE Kevin,, 1,2,3,0.0
8,12,BOYER Stephen,, 1,2,3,0.0
9,11,BRIZARD Antoine,, 1,, 1,0.0
10,2,GREBENNIKOV Jenia,,,, ,
11,16,BULTOR Daryl,,,, ,
12,ls,,1.0,25,96,122,0.2
