No.,Name,Points,Errors,In-Play,Total Attempts,by Set
18,SOUZA Ricardo Lucarelli,3.0,2,, 5,0.6
 8,De SOUZA Wallace,2.0,8,3,13,0.4
16,SAATKAMP Lucas,1.0,7,7,15,0.2
13,De SOUZA Mauricio Luiz,1.0,6,5,12,0.2
12,SANTOS Isac,1.0,2,2,5,0.2
 6,GIL KRELING Fernando,1.0,,- 1,2,0.2
 1,REZENDE Bruno Mossa,, 7,2,9,0.0
 9,LEAL HIDALGO Yoandy,, 1,4,5,0.0
21,SOUZA Alan,, 2,3,5,0.0
5,BORGES ALMEIDA SILVA Mauricio,,,-, ,
14,CORREIA De SOUZA Douglas,,,-, ,
17,HOSS Thales,,,-, ,
ls,,9.0,35,27,71,1.8
