No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
18,MICHIELETTO Alessandro,10,6.0,1,17,2.0
 4,VETTORI Luca,8,4.0,, 12,1.6
 5,JUANTORENA Osmany,7,7.0,2,16,1.4
 6,GIANNELLI Simone,5,9.0,2,16,1.0
13,COLACI Massimo,5,6.0,1,12,1.0
 9,ZAYTSEV Ivan,4,2.0,, 6,0.8
14,GALASSI Gianluca,2,,, 2,0.4
17,ANZANI Simone,1,,, 1,0.2
2,KOVAR Jiri,,,, ,
11,PIANO Matteo,,,, ,
15,SBERTOLI Riccardo,,,, ,
19,LAVIA Daniele,,,, ,
ls,,42,34.0,6,82,8.4
