No.,Name,Excellents,Errors,In-Play,Attempts,%
22,SHOJI Erik,22,, 5,27,81.48
 8,DEFALCO Torey,12,, 7,19,63.16
 3,SANDER Taylor,11,5.0,3,19,57.89
18,MUAGUTUTIA Garrett,3,1.0,1,5,
1,ANDERSON Matthew,1,1.0,, 2,
11,CHRISTENSON Micah,1,,, 1,
20,SMITH David,1,,, 1,
5,ENSING Kyle,,,, ,
6,STAHL Mitchell,,,, ,
7,SHOJI Kawika,,,, ,
12,HOLT Maxwell,,,, ,
17,JAESCHKE Thomas,,,, ,
ls,,51,7.0,16,74,68.92
