No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
11,BRIZARD Antoine,37,, 22,59,12.33
 1,CHINENYEZE Barthelemy,1,,, 1,0.33
 2,GREBENNIKOV Jenia,,, 3,3,0.0
17,CLEVENOT Trevor,,, 1,1,0.0
4,PATRY Jean,,,, ,
6,TONIUTTI Benjamin,,,, ,
7,TILLIE Kevin,,,, ,
9,NGAPETH Earvin,,,, ,
12,BOYER Stephen,,,, ,
14,le GOFF Nicolas,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,38,,26,64,12.67
