,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,11,KAZEMI Saber,10.0,1,9,20,45.0
1,10,GHAFOUR Amir,10.0,1,13,24,37.5
2,17,SALEHI Meisam,13.0,7,6,26,23.08
3, 2,EBADIPOUR GHARA H. Milad,8.0,7,6,21,4.76
4,6,MOUSAVI ERAGHI Seyed Mohammad,6.0,2,3,11,
5,15,MOJARAD Aliasghar,3.0,1,2,6,
6,12,SHARIFI Morteza,1.0,, 2,3,
7,4,MAROUFLAKRANI Mir Saeid,,, 1,1,
8,24,KARIMISOUCHELMAEI Javad,1.0,,, 1,
9,9,GHOLAMI Masoud,,,, ,
10,19,MARANDI Mahdi,,,, ,
11,21,SALEHI Arman,,,, ,
12,ls,,52.0,19,42,113,29.2
