No.,Name,Excellents,Errors,In-Play,Attempts,%
 5,JUANTORENA Osmany,10,1.0,8,19,52.63
13,COLACI Massimo,9,, 10,19,47.37
18,MICHIELETTO Alessandro,11,3.0,13,27,40.74
9,ZAYTSEV Ivan,1,1.0,, 2,
17,ANZANI Simone,1,,, 1,
2,KOVAR Jiri,,,, ,
4,VETTORI Luca,,,, ,
6,GIANNELLI Simone,,,, ,
11,PIANO Matteo,,,, ,
14,GALASSI Gianluca,,,, ,
15,SBERTOLI Riccardo,,,, ,
19,LAVIA Daniele,,,, ,
ls,,32,5.0,31,68,47.06
