,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0,12,HOLT Maxwell,2.0,8,6,16,0.5
1,11,CHRISTENSON Micah,2.0,2,, 4,0.5
2, 6,STAHL Mitchell,1.0,5,3,9,0.25
3, 8,DEFALCO Torey,1.0,6,2,9,0.25
4, 1,ANDERSON Matthew,1.0,1,3,5,0.25
5, 3,SANDER Taylor,, 4,, 4,0.0
6,20,SMITH David,, 1,, 1,0.0
7,5,ENSING Kyle,,,, ,
8,7,SHOJI Kawika,,,, ,
9,17,JAESCHKE Thomas,,,, ,
10,18,MUAGUTUTIA Garrett,,,, ,
11,22,SHOJI Erik,,,, ,
12,ls,,7.0,27,14,48,1.75
