No.,Name,Excellents,Errors,In-Play,Attempts,%
 7,CONTE Facundo,13,2.0,9,24,54.17
9,DANANI Santiago,11,, 2,13,
6,POGLAJEN Cristian,6,1.0,6,13,
13,PALACIOS Ezequiel,4,,, 4,
12,LIMA Bruno,1,, 1,2,
11,SOLE Sebastian,1,,, 1,
1,SANCHEZ Matias,,,, ,
2,PEREYRA Federico,,,, ,
8,LOSER Agustin,,,, ,
15,de CECCO Luciano,,,, ,
17,MENDEZ Nicolas,,,, ,
18,RAMOS Martin,,,, ,
ls,,36,3.0,18,57,63.16
