No.,Name,Points,Errors,In-Play,Attempts,%
13,PALACIOS Ezequiel,14.0,2,8,24,50.0
 7,CONTE Facundo,17.0,7,11,35,28.57
12,LIMA Bruno,12.0,8,7,27,14.81
11,SOLE Sebastian,8.0,, 9,17,
8,LOSER Agustin,3.0,1,4,8,
6,POGLAJEN Cristian,4.0,1,2,7,
15,de CECCO Luciano,3.0,,, 3,
2,PEREYRA Federico,1.0,2,, 3,
1,SANCHEZ Matias,,,, ,
9,DANANI Santiago,,,, ,
17,MENDEZ Nicolas,,,, ,
18,RAMOS Martin,,,, ,
ls,,62.0,21,41,124,33.06
