No.,Name,Points,Errors,In-Play,Total Attempts,by Set
14,le GOFF Nicolas,2.0,8,8,18,0.4
 9,NGAPETH Earvin,2.0,4,1,7,0.4
 1,CHINENYEZE Barthelemy,1.0,7,9,17,0.2
17,CLEVENOT Trevor,1.0,6,, 7,0.2
 4,PATRY Jean,1.0,3,1,5,0.2
11,BRIZARD Antoine,, 6,, 6,0.0
12,BOYER Stephen,, 1,, 1,0.0
2,GREBENNIKOV Jenia,,,, ,
6,TONIUTTI Benjamin,,,, ,
7,TILLIE Kevin,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,7.0,35,19,61,1.4
