,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,11,MOALLA Ismail,5,, 13,18,27.78
1,20,HMISSI Saddem,6,, 9,15,
2,6,BEN OTHMEN MILADI Mohamed Ali,8,1.0,5,14,
3,7,KARAMOSLI Elyes,3,1.0,5,9,
4,19,BOUGUERRA Aymen,,1.0,2,3,
5,10,NAGGA Hamza,,1.0,1,2,
6,9,AGREBI Omar,,, 1,1,
7,15,BEN TARA Wassim,,, 1,1,
8,2,KADHI Ahmed,,,, ,
9,3,BEN SLIMENE Khaled,,,, ,
10,12,BEN CHEIKH Mehdi,,,, ,
11,13,MBAREKI Selim,,,, ,
12,ls,,22,4.0,37,63,34.92
