,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0,11,PANKOV Pavel,3.0,3,5,11,0.75
1, 7,VOLKOV Dmitry,2.0,6,9,17,0.5
2,18,KLIUKA Egor,1.0,5,10,16,0.25
3,15,POLETAEV Victor,1.0,1,5,7,0.25
4,17,MIKHAYLOV Maxim,, 2,13,15,0.0
5, 4,VOLVICH Artem,, 1,10,11,0.0
6,24,KOBZAR Igor,, 1,7,8,0.0
7, 9,IAKOVLEV Ivan,, 3,5,8,0.0
8, 1,PODLESNYKH Yaroslav,,, 3,3,0.0
9,10,BOGDAN Denis,, 1,, 1,0.0
10,20,KURKAEV Ilyas,,,, ,
11,27,GOLUBEV Valentin,,,, ,
12,ls,,7.0,23,67,97,1.75
