No.,Name,Excellents,Errors,In-Play,Attempts,%
17,CLEVENOT Trevor,16,2.0,5,23,69.57
 9,NGAPETH Earvin,15,3.0,11,29,51.72
2,GREBENNIKOV Jenia,9,, 5,14,
6,TONIUTTI Benjamin,1,, 1,2,
1,CHINENYEZE Barthelemy,,,, ,
4,PATRY Jean,,,, ,
7,TILLIE Kevin,,,, ,
11,BRIZARD Antoine,,,, ,
12,BOYER Stephen,,,, ,
14,le GOFF Nicolas,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,41,5.0,22,68,60.29
