No.,Name,Points,Errors,In-Play,Attempts,%
18,SOUZA Ricardo Lucarelli,15.0,1,13,29,48.28
 8,De SOUZA Wallace,15.0,5,5,25,40.0
 9,LEAL HIDALGO Yoandy,15.0,4,9,28,39.29
16,SAATKAMP Lucas,8.0,1,4,13,
13,De SOUZA Mauricio Luiz,3.0,1,, 4,
21,SOUZA Alan,1.0,, 1,2,
12,SANTOS Isac,1.0,,, 1,
1,REZENDE Bruno Mossa,,,, ,
5,BORGES ALMEIDA SILVA Mauricio,,,, ,
6,GIL KRELING Fernando,,,, ,
14,CORREIA De SOUZA Douglas,,,, ,
17,HOSS Thales,,,, ,
ls,,58.0,12,32,102,45.1
