,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 9,IAKOVLEV Ivan,4.0,3,4,11,1.33
1, 7,VOLKOV Dmitry,4.0,1,5,10,1.33
2, 4,VOLVICH Artem,2.0,, 7,9,0.67
3,17,MIKHAYLOV Maxim,1.0,3,1,5,0.33
4,18,KLIUKA Egor,1.0,,, 1,0.33
5,24,KOBZAR Igor,,, 2,2,0.0
6,1,PODLESNYKH Yaroslav,,,, ,
7,10,BOGDAN Denis,,,, ,
8,11,PANKOV Pavel,,,, ,
9,15,POLETAEV Victor,,,, ,
10,20,KURKAEV Ilyas,,,, ,
11,27,GOLUBEV Valentin,,,, ,
12,ls,,12.0,7,19,38,4.0
