,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 9,DANANI Santiago,5,2.0,1,8,1.67
1, 7,CONTE Facundo,3,6.0,6,15,1.0
2, 6,POGLAJEN Cristian,3,2.0,1,6,1.0
3, 8,LOSER Agustin,2,,, 2,0.67
4,13,PALACIOS Ezequiel,1,2.0,1,4,0.33
5,11,SOLE Sebastian,1,,, 1,0.33
6,15,de CECCO Luciano,,2.0,2,4,0.0
7,12,LIMA Bruno,,3.0,, 3,0.0
8, 2,PEREYRA Federico,,1.0,, 1,0.0
9,1,SANCHEZ Matias,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,15,18.0,11,44,5.0
