No.,Name,Points,Errors,In-Play,Attempts,%
 6,POGLAJEN Cristian,14.0,3,9,26,42.31
 7,CONTE Facundo,13.0,4,15,32,28.13
12,LIMA Bruno,14.0,7,5,26,26.92
11,SOLE Sebastian,7.0,2,4,13,
8,LOSER Agustin,8.0,1,2,11,
2,PEREYRA Federico,, 1,2,3,
15,de CECCO Luciano,1.0,1,1,3,
13,PALACIOS Ezequiel,, 2,1,3,
18,RAMOS Martin,,, 1,1,
1,SANCHEZ Matias,,,, ,
9,DANANI Santiago,,,, ,
17,MENDEZ Nicolas,,,, ,
ls,,57.0,21,40,118,30.51
