,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,17,MIKHAYLOV Maxim,7,2.0,1,10,2.33
1,27,GOLUBEV Valentin,6,12.0,2,20,2.0
2, 7,VOLKOV Dmitry,4,1.0,2,7,1.33
3,18,KLIUKA Egor,2,1.0,2,5,0.67
4,24,KOBZAR Igor,2,1.0,1,4,0.67
5, 9,IAKOVLEV Ivan,1,3.0,1,5,0.33
6, 4,VOLVICH Artem,,1.0,, 1,0.0
7,1,PODLESNYKH Yaroslav,,,, ,
8,10,BOGDAN Denis,,,, ,
9,11,PANKOV Pavel,,,, ,
10,15,POLETAEV Victor,,,, ,
11,20,KURKAEV Ilyas,,,, ,
12,ls,,22,21.0,9,52,7.33
