,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,11,BRIZARD Antoine,51,, 34,85,10.2
1, 6,TONIUTTI Benjamin,6,, 10,16,1.2
2, 2,GREBENNIKOV Jenia,2,, 3,5,0.4
3,17,CLEVENOT Trevor,1,, 3,4,0.2
4, 9,NGAPETH Earvin,1,, 1,2,0.2
5, 1,CHINENYEZE Barthelemy,1,,, 1,0.2
6,4,PATRY Jean,,,, ,
7,7,TILLIE Kevin,,,, ,
8,12,BOYER Stephen,,,, ,
9,14,le GOFF Nicolas,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,62,,51,113,12.4
