No.,Name,Points,Errors,In-Play,Attempts,%
11,KAZEMI Saber,10.0,1,9,20,45.0
10,GHAFOUR Amir,10.0,1,13,24,37.5
17,SALEHI Meisam,13.0,7,6,26,23.08
 2,EBADIPOUR GHARA H. Milad,8.0,7,6,21,4.76
6,MOUSAVI ERAGHI Seyed Mohammad,6.0,2,3,11,
15,MOJARAD Aliasghar,3.0,1,2,6,
12,SHARIFI Morteza,1.0,, 2,3,
4,MAROUFLAKRANI Mir Saeid,,, 1,1,
24,KARIMISOUCHELMAEI Javad,1.0,,, 1,
9,GHOLAMI Masoud,,,, ,
19,MARANDI Mahdi,,,, ,
21,SALEHI Arman,,,, ,
ls,,52.0,19,42,113,29.2
