No.,Name,Excellents,Errors,In-Play,Attempts,%
18,MICHIELETTO Alessandro,11,, 1,12,91.67
 5,JUANTORENA Osmany,11,, 3,14,78.57
13,COLACI Massimo,9,, 3,12,75.0
19,LAVIA Daniele,5,, 1,6,
2,KOVAR Jiri,,,, ,
4,VETTORI Luca,,,, ,
6,GIANNELLI Simone,,,, ,
9,ZAYTSEV Ivan,,,, ,
11,PIANO Matteo,,,, ,
14,GALASSI Gianluca,,,, ,
15,SBERTOLI Riccardo,,,, ,
17,ANZANI Simone,,,, ,
ls,,36,,8,44,81.82
