No.,Name,Excellents,Errors,In-Play,Attempts,%
 9,NGAPETH Earvin,19,, 16,35,54.29
 2,GREBENNIKOV Jenia,19,2.0,17,38,50.0
17,CLEVENOT Trevor,16,, 8,24,
19,LOUATI Yacine,3,, 1,4,
14,le GOFF Nicolas,,, 2,2,
1,CHINENYEZE Barthelemy,1,,, 1,
7,TILLIE Kevin,1,,, 1,
4,PATRY Jean,,,, ,
6,TONIUTTI Benjamin,,,, ,
11,BRIZARD Antoine,,,, ,
12,BOYER Stephen,,,, ,
16,BULTOR Daryl,,,, ,
ls,,59,2.0,44,105,56.19
