,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0, 2,PERRIN John Gordon,12,2.0,11,25,48.0
1,7,MAAR Stephen Timothy,14,, 3,17,
2,19,BANN Blair Cameron,9,1.0,5,15,
3,4,HOAG Nicholas,7,, 7,14,
4,9,BLANKENAU Jay,1,,, 1,
5,12,van BERKEL Lucas,1,,, 1,
6,17,VIGRASS Graham,1,,, 1,
7,1,SANDERS Tyler,,,, ,
8,3,MARSHALL Steven,,,, ,
9,10,SCLATER Ryan Joseph,,,, ,
10,13,VERNONEVANS Sharone,,,, ,
11,20,SZWARC Arthur,,,, ,
12,ls,,45,3.0,26,74,60.81
