,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 3,BEN SLIMENE Khaled,28,1.0,39,68,9.33
1,11,MOALLA Ismail,2,,, 2,0.67
2,20,HMISSI Saddem,1,, 3,4,0.33
3,15,BEN TARA Wassim,,1.0,, 1,0.0
4,2,KADHI Ahmed,,,, ,
5,6,BEN OTHMEN MILADI Mohamed Ali,,,, ,
6,7,KARAMOSLI Elyes,,,, ,
7,9,AGREBI Omar,,,, ,
8,10,NAGGA Hamza,,,, ,
9,12,BEN CHEIKH Mehdi,,,, ,
10,13,MBAREKI Selim,,,, ,
11,19,BOUGUERRA Aymen,,,, ,
12,ls,,31,2.0,42,75,10.33
