,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0, 2,PERRIN John Gordon,14,, 9,23,60.87
1,19,BANN Blair Cameron,12,1.0,11,24,50.0
2, 4,HOAG Nicholas,15,5.0,12,32,46.88
3,13,VERNONEVANS Sharone,1,, 1,2,
4,17,VIGRASS Graham,2,,, 2,
5,1,SANDERS Tyler,,, 1,1,
6,7,MAAR Stephen Timothy,,1.0,, 1,
7,3,MARSHALL Steven,,,, ,
8,9,BLANKENAU Jay,,,, ,
9,10,SCLATER Ryan Joseph,,,, ,
10,12,van BERKEL Lucas,,,, ,
11,20,SZWARC Arthur,,,, ,
12,ls,,44,7.0,34,85,51.76
