,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0, 4,PATRY Jean,19.0,1,14,34,52.94
1, 9,NGAPETH Earvin,16.0,6,6,28,35.71
2,17,CLEVENOT Trevor,14.0,6,12,32,25.0
3,14,le GOFF Nicolas,6.0,, 5,11,
4,1,CHINENYEZE Barthelemy,7.0,1,2,10,
5,12,BOYER Stephen,2.0,, 1,3,
6,11,BRIZARD Antoine,1.0,, 1,2,
7,2,GREBENNIKOV Jenia,,,, ,
8,6,TONIUTTI Benjamin,,,, ,
9,7,TILLIE Kevin,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,65.0,14,41,120,42.5
