,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 2,KADHI Ahmed,4.0,9,4,17,0.8
1, 6,BEN OTHMEN MILADI Mohamed Ali,2.0,3,3,8,0.4
2,15,BEN TARA Wassim,1.0,9,5,15,0.2
3, 3,BEN SLIMENE Khaled,1.0,6,7,14,0.2
4, 9,AGREBI Omar,1.0,3,, 4,0.2
5,13,MBAREKI Selim,, 4,4,8,0.0
6,11,MOALLA Ismail,, 7,1,8,0.0
7,19,BOUGUERRA Aymen,, 2,1,3,0.0
8,7,KARAMOSLI Elyes,,,, ,
9,10,NAGGA Hamza,,,, ,
10,12,BEN CHEIKH Mehdi,,,, ,
11,20,HMISSI Saddem,,,, ,
12,ls,,9.0,43,25,77,1.8
