No.,Name,Excellents,Errors,In-Play,Attempts,%
17,CLEVENOT Trevor,13,, 5,18,72.22
 9,NGAPETH Earvin,11,, 12,23,47.83
2,GREBENNIKOV Jenia,6,, 1,7,
11,BRIZARD Antoine,1,,, 1,
1,CHINENYEZE Barthelemy,,,, ,
4,PATRY Jean,,,, ,
6,TONIUTTI Benjamin,,,, ,
7,TILLIE Kevin,,,, ,
12,BOYER Stephen,,,, ,
14,le GOFF Nicolas,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,31,,18,49,63.27
