,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,17,FAYOLA HURTADO Ronald Daniel,6.0,3,3,12,25.0
1,19,RIVAS QUIJADA Willner Enrique,7.0,3,8,18,22.22
2, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,9.0,7,5,21,9.52
3,7,VALENCIA GONZALEZ Edson Alberto,6.0,1,1,8,
4,11,VERDI Jose,2.0,1,3,6,
5,15,ARIAS GUZMAN Luis Antonio,2.0,1,2,5,
6,3,GONZALEZ Fernando,1.0,1,, 2,
7,1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
8,4,MATA Hector,,,, ,
9,6,ORAMAS BRIZUELA Robert Manuel,,,, ,
10,9,CARRASCO ANGULO Jose Manuel,,,, ,
11,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
12,ls,,33.0,17,22,72,22.22
