,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,17,CLEVENOT Trevor,16,2.0,5,23,69.57
1, 9,NGAPETH Earvin,15,3.0,11,29,51.72
2,2,GREBENNIKOV Jenia,9,, 5,14,
3,6,TONIUTTI Benjamin,1,, 1,2,
4,1,CHINENYEZE Barthelemy,,,, ,
5,4,PATRY Jean,,,, ,
6,7,TILLIE Kevin,,,, ,
7,11,BRIZARD Antoine,,,, ,
8,12,BOYER Stephen,,,, ,
9,14,le GOFF Nicolas,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,41,5.0,22,68,60.29
