,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 9,IAKOVLEV Ivan,2.0,11,4,17,0.5
1, 4,VOLVICH Artem,2.0,4,6,12,0.5
2, 7,VOLKOV Dmitry,2.0,4,2,8,0.5
3,18,KLIUKA Egor,2.0,3,, 5,0.5
4,11,PANKOV Pavel,1.0,1,4,6,0.25
5,17,MIKHAYLOV Maxim,1.0,, 4,5,0.25
6,24,KOBZAR Igor,,, 6,6,0.0
7,1,PODLESNYKH Yaroslav,,,, ,
8,10,BOGDAN Denis,,,, ,
9,15,POLETAEV Victor,,,, ,
10,20,KURKAEV Ilyas,,,, ,
11,27,GOLUBEV Valentin,,,, ,
12,ls,,10.0,23,26,59,2.5
