No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 2,GREBENNIKOV Jenia,12,8.0,3,23,3.0
 9,NGAPETH Earvin,8,7.0,1,16,2.0
17,CLEVENOT Trevor,5,, 1,6,1.25
 4,PATRY Jean,2,7.0,3,12,0.5
 6,TONIUTTI Benjamin,2,2.0,2,6,0.5
14,le GOFF Nicolas,2,1.0,2,5,0.5
 1,CHINENYEZE Barthelemy,,1.0,2,3,0.0
7,TILLIE Kevin,,,, ,
11,BRIZARD Antoine,,,, ,
12,BOYER Stephen,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,31,26.0,14,71,7.75
