No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 1,SANDERS Tyler,23,, 25,48,7.67
19,BANN Blair Cameron,2,, 4,6,0.67
 9,BLANKENAU Jay,2,, 3,5,0.67
13,VERNONEVANS Sharone,1,, 1,2,0.33
10,SCLATER Ryan Joseph,1,,, 1,0.33
 2,PERRIN John Gordon,,, 2,2,0.0
 4,HOAG Nicholas,,, 1,1,0.0
 7,MAAR Stephen Timothy,,, 1,1,0.0
20,SZWARC Arthur,,, 1,1,0.0
3,MARSHALL Steven,,,, ,
12,van BERKEL Lucas,,,, ,
17,VIGRASS Graham,,,, ,
ls,,29,,38,67,9.67
