No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 9,CARRASCO ANGULO Jose Manuel,17,, 15,32,5.67
 1,VELAZQUEZ ESCALANTE Armando Fernan.,8,, 16,24,2.67
 4,MATA Hector,4,, 4,8,1.33
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,,, 2,2,0.0
11,VERDI Jose,,, 2,2,0.0
17,FAYOLA HURTADO Ronald Daniel,,, 2,2,0.0
 7,VALENCIA GONZALEZ Edson Alberto,,, 1,1,0.0
3,GONZALEZ Fernando,,,, ,
6,ORAMAS BRIZUELA Robert Manuel,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
15,ARIAS GUZMAN Luis Antonio,,,, ,
19,RIVAS QUIJADA Willner Enrique,,,, ,
ls,,29,,42,71,9.67
