,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0, 9,DANANI Santiago,13,, 3,16,81.25
1,13,PALACIOS Ezequiel,9,, 11,20,45.0
2,7,CONTE Facundo,5,, 4,9,
3,12,LIMA Bruno,1,, 2,3,
4,11,SOLE Sebastian,1,, 1,2,
5,1,SANCHEZ Matias,,,, ,
6,2,PEREYRA Federico,,,, ,
7,6,POGLAJEN Cristian,,,, ,
8,8,LOSER Agustin,,,, ,
9,15,de CECCO Luciano,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,29,,21,50,58.0
