No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
11,BRIZARD Antoine,26,, 21,47,8.67
 6,TONIUTTI Benjamin,6,, 6,12,2.0
 2,GREBENNIKOV Jenia,1,, 1,2,0.33
 9,NGAPETH Earvin,,, 6,6,0.0
1,CHINENYEZE Barthelemy,,,, ,
4,PATRY Jean,,,, ,
7,TILLIE Kevin,,,, ,
12,BOYER Stephen,,,, ,
14,le GOFF Nicolas,,,, ,
16,BULTOR Daryl,,,, ,
17,CLEVENOT Trevor,,,, ,
19,LOUATI Yacine,,,, ,
ls,,33,,34,67,11.0
