No.,Name,Points,Errors,In-Play,Attempts,%
 1,ANDERSON Matthew,13.0,, 7,20,65.0
 3,SANDER Taylor,12.0,2,5,19,52.63
 8,DEFALCO Torey,9.0,2,10,21,33.33
12,HOLT Maxwell,8.0,2,1,11,
20,SMITH David,7.0,, 1,8,
11,CHRISTENSON Micah,1.0,,, 1,
5,ENSING Kyle,,-,, ,
6,STAHL Mitchell,,-,, ,
7,SHOJI Kawika,,-,, ,
17,JAESCHKE Thomas,,-,, ,
18,MUAGUTUTIA Garrett,,-,, ,
22,SHOJI Erik,,-,, ,
ls,,50.0,6,24,80,55.0
