,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,13,PALACIOS Ezequiel,9.0,4,6,19,26.32
1,12,LIMA Bruno,17.0,10,5,32,21.88
2,7,CONTE Facundo,8.0,8,11,27,
3,11,SOLE Sebastian,7.0,1,3,11,
4,8,LOSER Agustin,6.0,2,1,9,
5,2,PEREYRA Federico,2.0,2,1,5,
6,15,de CECCO Luciano,,, 3,3,
7,6,POGLAJEN Cristian,1.0,1,1,3,
8,1,SANCHEZ Matias,,,, ,
9,9,DANANI Santiago,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,50.0,28,31,109,20.18
