No.,Name,Excellents,Errors,In-Play,Attempts,%
21,TAKAHASHI Ran,13,, 11,24,54.17
14,ISHIKAWA Yuki,11,1.0,13,25,44.0
20,YAMAMOTO Tomohiro,14,, 4,18,
2,ONODERA Taishi,1,1.0,2,4,
11,NISHIDA Yuji,2,, 1,3,
12,SEKITA Masahiro,,, 1,1,
17,TAKANASHI Kenta,1,,, 1,
1,SHIMIZU Kunihiro,,,, ,
3,FUJII Naonobu,,,, ,
6,YAMAUCHI Akihiro,,,, ,
15,RI Haku,,,, ,
19,OTSUKA Tatsunori,,,, ,
ls,,42,2.0,32,76,55.26
