,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 4,MAROUFLAKRANI Mir Saeid,28,, 39,67,9.33
1, 2,EBADIPOUR GHARA H. Milad,1,, 3,4,0.33
2,17,SALEHI Meisam,1,, 1,2,0.33
3,19,MARANDI Mahdi,1,,, 1,0.33
4,10,GHAFOUR Amir,,, 1,1,0.0
5,24,KARIMISOUCHELMAEI Javad,,, 1,1,0.0
6,6,MOUSAVI ERAGHI Seyed Mohammad,,,, ,
7,9,GHOLAMI Masoud,,,, ,
8,11,KAZEMI Saber,,,, ,
9,12,SHARIFI Morteza,,,, ,
10,15,MOJARAD Aliasghar,,,, ,
11,21,SALEHI Arman,,,, ,
12,ls,,31,,45,76,10.33
