No.,Name,Points,Errors,In-Play,Attempts,%
12,LIMA Bruno,25.0,6,8,39,48.72
13,PALACIOS Ezequiel,9.0,2,7,18,38.89
 7,CONTE Facundo,15.0,5,10,30,33.33
8,LOSER Agustin,9.0,2,4,15,
11,SOLE Sebastian,8.0,, 1,9,
18,RAMOS Martin,3.0,1,1,5,
15,de CECCO Luciano,2.0,,, 2,
6,POGLAJEN Cristian,1.0,,, 1,
2,PEREYRA Federico,, 1,, 1,
1,SANCHEZ Matias,,,, ,
9,DANANI Santiago,,,, ,
17,MENDEZ Nicolas,,,, ,
ls,,72.0,17,31,120,45.83
