,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 3,SANDER Taylor,2.0,3,15,20,0.5
1, 1,ANDERSON Matthew,1.0,4,16,21,0.25
2, 8,DEFALCO Torey,1.0,3,13,17,0.25
3,11,CHRISTENSON Micah,, 4,12,16,0.0
4, 6,STAHL Mitchell,, 3,6,9,0.0
5,12,HOLT Maxwell,, 3,6,9,0.0
6,17,JAESCHKE Thomas,,, 3,3,0.0
7,20,SMITH David,, 1,1,2,0.0
8,5,ENSING Kyle,,,, ,
9,7,SHOJI Kawika,,,, ,
10,18,MUAGUTUTIA Garrett,,,, ,
11,22,SHOJI Erik,,,, ,
12,ls,,4.0,21,72,97,1.0
